CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-100000,Male,0,Yes,No,68,Two year,No,Credit card (automatic),36.44,2395.31,No
CUST-100001,Male,0,Yes,Yes,7,One year,Yes,Mailed check,42.92,317.86,Yes
CUST-100002,Female,0,Yes,No,19,Two year,Yes,Mailed check,51.49,946.87,No
CUST-100003,Male,0,No,Yes,71,Two year,No,Electronic check,76.52,5629.21,No
CUST-100004,Male,0,Yes,No,33,Two year,No,Mailed check,92.83,2831.45,No
CUST-100005,Male,0,No,Yes,54,Two year,No,Mailed check,102.96,5950.8,Yes
CUST-100006,Male,0,No,No,70,Two year,No,Bank transfer (automatic),20.51,1309.2,No
CUST-100007,Male,0,Yes,Yes,24,Month-to-month,Yes,Credit card (automatic),54.13,1254.79,No
CUST-100008,Female,1,No,No,3,Month-to-month,No,Electronic check,72.34,215.42,No
CUST-100009,Male,0,Yes,Yes,42,Month-to-month,No,Bank transfer (automatic),117.43,4545.44,No
CUST-100010,Male,0,No,Yes,29,Month-to-month,Yes,Electronic check,95.42,2550.0,No
CUST-100011,Male,0,No,Yes,60,Two year,Yes,Electronic check,115.08,7120.94,No
CUST-100012,Male,0,No,No,68,Two year,No,Credit card (automatic),83.43,6182.38,No
CUST-100013,Male,0,No,Yes,39,Month-to-month,Yes,Credit card (automatic),106.27,4101.89,Yes
CUST-100014,Male,0,Yes,Yes,2,Month-to-month,No,Bank transfer (automatic),114.67,206.86,No
CUST-100015,Male,0,Yes,Yes,67,Two year,No,Mailed check,102.98,7440.88,No
CUST-100016,Female,0,No,No,54,Two year,No,Mailed check,82.37,4166.91,No
CUST-100017,Male,1,No,No,54,One year,No,Bank transfer (automatic),20.26,1196.22,No
CUST-100018,Female,0,Yes,No,64,Two year,No,Mailed check,109.2,6788.0,No
CUST-100019,Female,0,No,Yes,14,Month-to-month,No,Mailed check,113.64,1721.08,No
CUST-100020,Male,0,No,No,68,Month-to-month,Yes,Bank transfer (automatic),39.55,2778.62,No
CUST-100021,Male,1,No,Yes,49,One year,No,Mailed check,98.63,4650.85,No
CUST-100022,Female,0,No,Yes,35,Two year,Yes,Credit card (automatic),22.01,714.38,No
